67	59	59
67	61	61
67	54	41
67	60	43
67	59	59
67	56	56
67	56	56
67	61	6
67	60	2
1681	1671	1665
1681	1668	1649
1681	1518	1119
1681	1672	1145
1681	1673	1649
1681	1676	1673
1681	1676	1673
1681	1507	139
1681	1662	95
72	70	69
72	69	68
72	65	55
72	70	56
72	70	68
72	62	61
72	62	61
72	69	2
72	70	2
19	15	15
19	17	17
19	15	14
19	17	15
19	16	16
19	17	17
19	17	17
19	17	0
19	16	0
9	9	9
9	9	9
9	9	6
9	9	6
9	9	9
9	9	9
9	9	9
9	9	0
9	9	0
820	818	814
820	819	811
820	743	542
820	819	550
820	819	810
820	820	817
820	820	817
820	731	54
820	819	41
121	119	119
121	120	120
121	112	92
121	119	93
121	120	119
121	117	117
121	117	117
121	105	6
121	119	4
226	225	224
226	226	221
226	206	154
226	225	156
226	225	223
226	201	199
226	201	199
226	214	16
226	225	10
211	203	202
211	201	200
211	191	138
211	205	139
211	203	201
211	192	192
211	192	192
211	193	12
211	200	11
24	24	24
24	24	24
24	23	17
24	24	18
24	24	24
24	23	23
24	23	23
24	24	1
24	24	0
111	110	110
111	110	110
111	99	63
111	110	66
111	110	109
111	110	110
111	110	110
111	96	10
111	110	6
58	58	58
58	58	58
58	53	41
58	58	42
58	58	58
58	58	58
58	58	58
58	56	5
58	58	5
93	92	92
93	90	89
93	81	68
93	92	72
93	91	90
93	85	85
93	85	85
93	87	1
93	91	1
322	285	285
322	312	312
322	248	203
322	314	256
322	282	282
322	264	264
322	264	264
322	310	17
322	282	4
789	720	714
789	719	711
789	642	486
789	728	526
789	725	716
789	646	643
789	646	643
789	722	45
789	727	25
73	73	73
73	73	73
73	69	55
73	73	57
73	73	73
73	66	66
73	66	66
73	70	5
73	73	4
718	708	702
718	705	700
718	645	489
718	706	499
718	707	696
718	687	687
718	687	687
718	668	66
718	701	35
70	66	66
70	67	67
70	59	46
70	66	47
70	66	65
70	62	62
70	62	62
70	63	5
70	65	2
26	25	25
26	25	25
26	22	16
26	25	16
26	25	25
26	20	20
26	20	20
26	23	4
26	24	3
204	203	201
204	204	201
204	186	130
204	204	129
204	204	199
204	177	176
204	177	176
204	188	13
204	204	7
350	299	299
350	298	297
350	285	229
350	296	230
350	298	298
350	299	299
350	299	299
350	289	10
350	298	4
476	471	470
476	472	467
476	438	320
476	472	325
476	470	466
476	394	394
476	394	394
476	447	38
476	469	24
145	142	141
145	143	143
145	124	85
145	142	90
145	139	135
145	143	142
145	143	142
145	108	9
145	139	6
-----------------
27
26
37
61
48
312
6034
7
4401
174
209
255
36
1838
2
234
30
1
4163
3
